RK,Player Name,Team,Pos,BYE,Trend,Points,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,QB Att/Game,QB YPC
109,Kyler Murray,MIN,QB,6,rising,278.1,4057,6.1,76,N/A,25,0.0,N/A,29.6,10.5
110,Jordan Mason,MIN,RB,6,down,123.3,812,4.5,164,12,6,6.2,0.7/0.9,0.0,0.0
111,Quentin Johnston,LAC,WR,7,down,154.5,834,4.5,2,58,7,14.2,3.4/5.7,0.0,0.0
112,Ricky Pearsall,SF,WR,8,down,137.9,844,5.8,3,59,4,14.0,3.5/5.2,0.0,0.0
113,Dalton Kincaid,BUF,TE,7,rising,140.4,779,0.0,N/A,65,5,12.0,3.8/5.3,0.0,0.0
114,KC Concepcion,CLE,WR,11,no change,121.5,747,5.5,5,58,3,12.5,3.4/5.5,0.0,0.0
115,Matthew Golden,GB,WR,11,down,130.4,779,6.6,7,57,4,12.9,3.4/5.2,0.0,0.0
116,Aaron Jones Sr.,MIN,RB,6,no change,176.9,1106,4.3,174,49,7,7.4,2.9/3.8,0.0,0.0
117,Tyler Shough,NO,QB,8,no change,289.7,4375,4.3,72,N/A,27,0.0,N/A,33.4,10.8
118,Jared Goff,DET,QB,6,rising,299.1,4513,1.7,25,N/A,34,0.0,N/A,33.5,11.5
119,Baker Mayfield,TB,QB,10,rising,292.3,4265,5.9,56,N/A,30,0.0,N/A,32.1,11.2
120,Wan'dale Robinson,TEN,WR,9,down,124.7,728,5.4,7,68,3,10.2,4.0/5.9,0.0,0.0
121,Travis Kelce,KC,TE,5,down,161.6,854,0.0,N/A,80,6,10.7,4.7/6.6,0.0,0.0
122,Malik Willis,MIA,QB,6,no change,276.7,4313,5.3,107,N/A,21,0.0,N/A,31.3,10.9
123,Chris Rodriguez Jr.,JAX,RB,7,no change,86.7,485,4.4,103,4,6,7.2,0.3/0.4,0.0,0.0
124,Jonathon Brooks,CAR,RB,5,no change,121.4,794,4.2,147,24,5,7.6,1.4/1.9,0.0,0.0
125,Jalen Coker,CAR,WR,5,no change,161.1,921,0.0,N/A,78,5,11.8,4.6/6.6,0.0,0.0
126,Rachaad White,WAS,RB,7,rising,166.6,944,4.2,148,48,8,6.6,2.8/3.2,0.0,0.0
127,Jake Ferguson,DAL,TE,14,down,139.4,609,0.0,N/A,73,7,8.3,4.3/5.8,0.0,0.0
128,Isaiah Likely,NYG,TE,8,no change,159.3,894,0.0,N/A,80,5,11.2,4.7/6.4,0.0,0.0
129,Dallas Goedert,PHI,TE,10,no change,132.6,691,0.0,N/A,67,5,10.3,3.9/5.4,0.0,0.0
130,Keaton Mitchell,LAC,RB,7,rising,66.3,380,4.7,48,21,3,7.7,1.2/1.6,0.0,0.0
131,Romeo Doubs,NE,WR,11,down,121.3,702,0.0,N/A,54,4,12.9,3.2/4.8,0.0,0.0
132,Khalil Shakir,BUF,WR,7,down,138.6,786,6.0,2,72,4,10.8,4.2/5.6,0.0,0.0
133,Sam Darnold,SEA,QB,11,rising,276.2,4417,3.0,41,N/A,28,0.0,N/A,31.6,12.0
134,C.J. Stroud,HOU,QB,8,rising,269.8,4273,4.4,56,N/A,26,0.0,N/A,32.5,11.4
135,Isiah Pacheco,DET,RB,6,down,131.4,799,4.2,159,19,7,6.6,1.1/1.5,0.0,0.0
136,Tyrone Tracy Jr.,NYG,RB,8,down,93.1,620,4.2,99,26,3,7.7,1.5/2.0,0.0,0.0
137,Jacory Croskey-Merritt,WAS,RB,7,down,123.0,817,4.3,172,11,6,7.1,0.6/0.8,0.0,0.0
138,Jayden Higgins,HOU,WR,8,down,109.4,609,0.0,N/A,49,4,12.4,2.9/4.8,0.0,0.0
139,Jalen McMillan,TB,WR,10,no change,127.3,710,5.8,5,53,5,12.9,3.1/4.8,0.0,0.0
140,Oronde Gadsden II,N/A,TE,N/A,no change,114.9,590,0.0,N/A,52,5,11.4,3.0/4.2,0.0,0.0
141,Daniel Jones,IND,QB,13,rising,276.6,4271,4.1,64,N/A,26,0.0,N/A,31.5,11.1
142,Hunter Henry,NE,TE,11,down,123.0,639,0.0,N/A,58,5,11.0,3.4/4.9,0.0,0.0
143,Rashid Shaheed,SEA,WR,11,down,121.0,695,6.6,12,43,5,14.3,2.5/4.2,0.0,0.0
144,Brian Robinson Jr.,ATL,RB,11,down,96.7,616,4.2,131,10,5,6.6,0.6/0.8,0.0,0.0
145,Omar Cooper Jr.,NYJ,WR,13,no change,105.8,638,5.8,2,48,3,13.1,2.8/4.4,0.0,0.0
146,Jauan Jennings,MIN,WR,6,down,115.5,630,0.0,N/A,57,4,11.1,3.4/5.2,0.0,0.0
147,Brenton Strange,JAX,TE,7,down,112.8,603,0.0,N/A,57,4,10.6,3.4/4.8,0.0,0.0
148,Brandon Aubrey,DAL,K,14,rising,184.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
149,Chig Okonkwo,WAS,TE,7,down,105.9,549,0.0,N/A,54,4,10.2,3.2/4.4,0.0,0.0
150,Woody Marks,HOU,RB,8,rising,123.7,762,4.1,140,23,6,8.5,1.4/2.0,0.0,0.0
151,Denzel Boston,CLE,WR,11,no change,105.8,622,0.0,N/A,51,3,12.1,3.0/4.9,0.0,0.0
152,Kenyon Sadiq,NYJ,TE,13,no change,121.3,653,0.0,N/A,64,4,10.2,3.8/5.1,0.0,0.0
